Team,Year,Perc_foreign
Average,2001,58.396000000000015
Average,2002,60.223
Average,2003,60.78000000000001
Average,2004,61.2155
Average,2005,62.104499999999994
Average,2006,61.7685
Average,2007,63.06149999999999
Average,2008,62.06750000000001
Average,2009,61.7855
Average,2010,60.932
Average,2011,61.827499999999986
Average,2012,63.943
Average,2013,69.7825
Average,2014,65.92949999999999
