Team,Year,Perc_foreign
Charlton Athletic,2005,55.56
Charlton Athletic,2006,63.89
Charlton Athletic,2007,
Charlton Athletic,2008,
Charlton Athletic,2009,
Charlton Athletic,2010,
Charlton Athletic,2011,
Charlton Athletic,2012,
Charlton Athletic,2013,
Charlton Athletic,2014,
Chelsea FC,1992,48.57
Chelsea FC,1993,45.45
Chelsea FC,1994,43.33
Chelsea FC,1995,50.0
Chelsea FC,1996,53.12
Chelsea FC,1997,51.43
Chelsea FC,1998,60.71
Chelsea FC,1999,65.62
Chelsea FC,2000,80.0
Chelsea FC,2001,78.79
Chelsea FC,2002,74.19
Chelsea FC,2003,76.47
Chelsea FC,2004,74.19
Chelsea FC,2005,70.37
Chelsea FC,2006,64.86
Chelsea FC,2007,59.46
Chelsea FC,2008,75.0
Chelsea FC,2009,71.43
Chelsea FC,2010,66.67
Chelsea FC,2011,70.0
Chelsea FC,2012,70.97
Chelsea FC,2013,83.33
Chelsea FC,2014,79.31
Coventry City,1992,33.33
Coventry City,1993,40.74
Coventry City,1994,42.86
Coventry City,1995,40.0
Coventry City,1996,51.52
Coventry City,1997,53.12
Coventry City,1998,51.22
Coventry City,1999,58.97
Coventry City,2000,61.76
Coventry City,2001,
Coventry City,2002,
Coventry City,2003,
Coventry City,2004,
Coventry City,2005,
Coventry City,2006,
Coventry City,2007,
Coventry City,2008,
Coventry City,2009,
Coventry City,2010,
Coventry City,2011,
Coventry City,2012,
Coventry City,2013,
Coventry City,2014,
Crystal Palace,1992,18.52
Crystal Palace,1993,
Crystal Palace,1994,36.0
Crystal Palace,1995,
Crystal Palace,1996,
Crystal Palace,1997,51.35
Crystal Palace,1998,
Crystal Palace,1999,
Crystal Palace,2000,
Crystal Palace,2001,
Crystal Palace,2002,
Crystal Palace,2003,
Crystal Palace,2004,50.0
Crystal Palace,2005,
Crystal Palace,2006,
Crystal Palace,2007,
Crystal Palace,2008,
Crystal Palace,2009,
Crystal Palace,2010,
Crystal Palace,2011,
Crystal Palace,2012,
Crystal Palace,2013,58.54
Crystal Palace,2014,61.11
Derby County,1992,
Derby County,1993,
Derby County,1994,
Derby County,1995,
Derby County,1996,46.67
Derby County,1997,56.67
Derby County,1998,58.06
Derby County,1999,54.29
Derby County,2000,60.0
Derby County,2001,55.26
Derby County,2002,
Derby County,2003,
Derby County,2004,
Derby County,2005,
Derby County,2006,
Derby County,2007,58.54
Derby County,2008,
Derby County,2009,
Derby County,2010,
Derby County,2011,
Derby County,2012,
Derby County,2013,
Derby County,2014,
Everton FC,1992,30.77
Everton FC,1993,26.09
Everton FC,1994,26.92
Everton FC,1995,32.0
Everton FC,1996,32.14
Everton FC,1997,38.89
Everton FC,1998,47.22
Everton FC,1999,44.74
Everton FC,2000,57.14
Everton FC,2001,61.29
Everton FC,2002,65.62
Everton FC,2003,51.61
Everton FC,2004,60.0
Everton FC,2005,65.52
Everton FC,2006,64.0
Everton FC,2007,51.72
Everton FC,2008,53.57
Everton FC,2009,54.76
Everton FC,2010,65.62
Everton FC,2011,70.59
Everton FC,2012,69.23
Everton FC,2013,73.33
Everton FC,2014,61.54
Fulham FC,1992,
Fulham FC,1993,
Fulham FC,1994,
Fulham FC,1995,
Fulham FC,1996,
Fulham FC,1997,
Fulham FC,1998,
Fulham FC,1999,
Fulham FC,2000,
Fulham FC,2001,71.43
Fulham FC,2002,76.67
Fulham FC,2003,73.53
Fulham FC,2004,67.65
Fulham FC,2005,77.42
Fulham FC,2006,76.47
Fulham FC,2007,78.95
Fulham FC,2008,62.5
Fulham FC,2009,66.67
Fulham FC,2010,79.41
Fulham FC,2011,77.78
Fulham FC,2012,87.88
Fulham FC,2013,75.0
Fulham FC,2014,
Hull City,1992,
Hull City,1993,
Hull City,1994,
Hull City,1995,
Hull City,1996,
Hull City,1997,
Hull City,1998,
Hull City,1999,
Hull City,2000,
Hull City,2001,
Hull City,2002,
Hull City,2003,
Hull City,2004,
Hull City,2005,
Hull City,2006,
Hull City,2007,
Hull City,2008,44.44
Hull City,2009,62.16
Hull City,2010,
Hull City,2011,
Hull City,2012,
Hull City,2013,66.67
Hull City,2014,66.67
Ipswich Town,1992,29.17
Ipswich Town,1993,22.73
Ipswich Town,1994,29.41
Ipswich Town,1995,
Ipswich Town,1996,
Ipswich Town,1997,
Ipswich Town,1998,
Ipswich Town,1999,
Ipswich Town,2000,40.74
Ipswich Town,2001,45.16
Ipswich Town,2002,
